"pHSC" "Blasts"
"KDELC1" 6.09814622921748 3.38934626661757
"ME1" 0 3.6127905679873
"CSF2RA" 3.42252176234456 7.27064375881127
"PIR" 5.25553210250559 0.738779261066613
"EPHX2" 4.2189348507744 0
"FGD4" 5.36598366052706 8.47955087695245
"TRHDE-AS1" 4.52300961897576 0.244471452300565
"TRHDE" 5.02900448181014 0.998889629647893
"SLC16A2" 6.70339535037893 2.853711596298
"SALL4" 3.80657231708655 0
"GYPE" 4.21331019271535 0.382730786199573
"ZNRF3" 6.19250289606979 2.32694989812614
"BCAS4" 7.09913657043053 4.17242579898029
"FCGR1CP" 0 3.87011624130435
"PLA2G2F" 0 3.99139091369284
"PNPLA1" 0 3.88170646226567
"AADAT" 4.21132391259625 0
"PLA2R1" 4.84553017930264 0.405772181732617
"ZBTB8A" 6.43158396425199 1.1412322299515
"SLC9A7P1" 1.44342643243762 5.06821059700609
"MARCO" 0 3.79496629770592
"AL732406.1" 4.13597339960012 0
"LAPTM4B" 12.039499880998 7.10192132601266
"AC010173.1" 0.391619445523823 4.28104092349277
"TCF4" 11.2726727146862 8.25465365566135
"AL391832.2" 1.60213802353917 5.76979487509407
"SPAG16" 4.9895827988277 1.02551830742043
"AC092145.1" 2.72753857604363 6.44218550530383
"PGBD1" 6.96206083666109 4.09104210848248
"GLIPR2" 8.43345348548269 10.582758020164
"SDC2" 0.337457180048777 4.12343741613196
"ARRB2" 7.22049877266311 10.1396862573561
"PRKCQ-AS1" 6.97537798047362 3.93170006917957
"GABRB3" 4.95966564284664 0.593117447915277
"LINC02432" 0 3.22127397614836
"EVI2B" 9.6556895322595 11.7400580866134
"AC073611.2" 1.34482583524714 4.68911988211667
"LILRB4" 2.40947859444417 9.47493315330792
"TREML3P" 0 3.83620079856564
"AC096667.1" 2.4701639706827 5.45632004990929
"IKZF2" 8.8656638306954 2.96656914519985
"SFMBT1" 1.55863014113169 5.77321272153096
"WLS" 0 3.51853411932192
"DAPP1" 7.21352341752793 9.59647134129779
"AASS" 7.71169020766445 2.07593540133952
"ARL10" 7.42727725780205 5.09038598608204
"RPL5P14" 4.86430772752483 0.837588900215842
"LAMP5" 0.707312129274083 4.07347319749113
"ELL2P1" 0.707312129274083 4.24278983130524
"TLR5" 3.23992192396676 7.16869445696947
"CAMK2D" 4.36275225827828 8.62190241923659
"AOAH" 7.07288320444812 10.0353094346665
"SPOCK3" 6.42484987763476 2.26339089393342
"RNF180" 4.01211360177767 0
"AC100858.3" 0 3.66363006950583
"SNX30" 6.40142549696216 9.08069494412297
"LILRB3" 1.62015206398752 5.64806693775392
"AC243962.1" 0 3.85986104072862
"LOXL1-AS1" 7.25920864424678 2.5114595915085
"PCED1B-AS1" 0.391619445523823 4.05924528685433
"LINC01503" 0.337457180048777 4.21084917098147
"LINC02085" 0 3.65081270261029
"KCNQ1" 1.04741798881874 5.14518409011295
"AC022267.1" 3.96260422513961 0
"CACNB2" 7.32915086351627 4.69226184167019
"TRPC6" 4.09321597626518 0
"CD200R1" 1.25852560753362 5.2483215939665
"CTSH" 5.50388881784799 8.13495568996142
"RNF175" 1.67561428461693 5.93220287765754
"FKBP15" 7.62676343593491 10.1783026004622
"IGSF6" 5.68050048525743 8.39021094158759
"AL355916.2" 4.22709743039604 0.499172005335717
"TRO" 6.2812222479681 1.1412322299515
"TMTC2" 5.27473744068169 8.2187855294503
"ZNF385D-AS2" 3.75183206660674 0
"CHRDL1" 3.97918141867959 0
"PCDHGB7" 6.38289084783063 3.39883625805317
"IRF4" 0 6.08456100373743
"FAM47E" 4.92325250682976 1.73766889071451
"TCN2" 3.33325657926792 7.36160414396685
"ZNF354C" 6.48821466044898 2.96584619081007
"MAGI2" 5.69965182843028 2.593761905749
"RP11-61J19.4" 0.653149863799036 4.1244211310763
"AL391001.1" 3.91884373097166 0
"PCDHGB8P" 4.28854854040016 0.244471452300565
"SEMA4F" 5.28796053508797 1.34991851320085
"CD200" 6.89504313970537 2.37452960124963
"GPRIN3" 5.68970892882276 8.56151322442995
"CCL3L1" 1.0239598112714 4.60853654107818
"STARD9" 8.7889284643413 5.38826141645035
"NCAM1" 0.391619445523823 3.98095767123742
"TMSB4X" 10.285497897021 12.5084208996299
"KCND1" 5.30108588905131 2.16330087290701
"CTSB" 9.02303227583407 11.5549566090373
"GPR87" 4.35858302591863 0.499172005335717
"CYP7B1" 8.27453673845189 4.7480186329295
"APOA2" 0 3.60847168642349
"TMEM150C" 5.33682589294529 1.88142602312286
"SYDE2" 4.92972994702031 1.1447539910783
"ADGRD1" 0.504653175012643 4.59329828491875
"PTENP1-AS" 4.01825760037598 0
"SLC37A2" 1.86364643008708 5.73312624263328
"CEP70" 8.00622321781548 5.42517252264173
"SLCO3A1" 6.93941737418977 9.32026066383295
"AMOT" 6.95811907028092 3.05135037182122
"PART1" 0 3.25528724246785
"JDP2" 3.25481638675974 6.13152866403936
"IL10RA" 5.69927012971593 10.1565109828759
"THEMIS2" 7.06084064801607 9.40099064598246
"LPAR1" 2.08036977662407 6.5304117434722
"CCDC152" 5.90863541351899 2.44154618337015
"THRB-AS1" 4.35966120086385 0.382730786199573
"SULT1C4" 8.08277893919007 3.00379676311216
"BASP1" 5.81581049197625 8.32573179941339
"CHST15" 0.672839250902477 6.89977675420661
"XXYLT1-AS2" 4.68403217276077 0.88190279153529
"IFNGR1" 8.27991466757409 10.5994394634098
"FCGR2C" 0 5.83886016540937
"AC139495.3" 0.391619445523823 3.9357016578996
"ALS2" 10.1675550082511 8.0322431248809
"CDH7" 8.66700408078968 1.83479013470759
"RNASE1" 0.695580291857213 4.99497765175092
"HPGDS" 4.12100549886708 1.33676090555156
"TNFSF13B" 3.65035945789542 9.38567349657288
"ERG" 11.7263266101953 8.60846847121209
"PTGS1" 11.7023432587067 8.40047139029526
"CKAP4" 3.78212622003119 6.40270901318828
"ITGB2-AS1" 0.653149863799036 4.23370942839431
"HOXA1" 0.977414119173903 4.71720138260414
"CPVL" 7.02988353542589 9.52219751123198
"KCNA3" 8.17878276123351 5.0829433426585
"TRIM7" 1.24112360390537 4.48911573399745
"ALOX12P2" 5.05737020824482 1.88353325214492
"GCSAML" 10.5928764301736 4.933880235269
"FAM117A" 10.6680179716908 7.22427413578691
"ARHGEF10L" 0 3.70524865414179
"C2" 0.337457180048777 3.38257470558041
"HLA-DPB2" 1.36141699132017 4.29798429938911
"CTSS" 10.5267254485648 13.0827354588455
"SLAIN1" 6.88069490503168 3.71355745894881
"GPRASP2" 6.22497531286298 3.39883120294849
"GMPR" 4.89899785330791 1.58478283757388
"FGF7" 3.73828671714234 0
"GSTM3" 7.75067069890447 2.91283166382481
"RPL7AP64" 0 3.48928281528867
"MICU3" 4.70362882134206 0.526346302084717
"REN" 4.08723424425985 0.382730786199573
"RTL8B" 4.34950492648418 0.627202238500138
"GNGT2" 0 3.19200041779277
"GPR132" 2.35922885057638 5.46975063385318
"PDGFRA" 4.12990863759502 0.244471452300565
"AL391903.2" 0 3.32406795366637
"FNDC3B" 8.47627030263324 10.9455813820486
"NOG" 4.85950617067581 1.1447539910783
"Z98257.1" 0.937962317272197 5.36018424059286
"CXCR2P1" 0.520756438309261 3.63900827147104
"PTPRM" 7.17119298165611 1.98228723291234
"KIAA1671" 4.41655138670272 0.627202238500138
"CDH23" 2.83144614733574 5.87426478009252
"CHRM2" 3.53399485699446 0
"CR1" 5.56473433797408 8.52732154713329
"CCDC171" 8.56006522178191 6.08473789093793
"AGTPBP1" 8.59266090532118 10.8889447050812
"TSHZ3" 0.419394915092027 4.20713731363966
"AC084871.1" 1.19995223316832 4.73139407719535
"AL592429.1" 1.05060301074029 5.75249110124886
